"","X","Animal.ID","Name","Found.Location","Intake.Type","Intake.Condition","Animal.Type","Sex.upon.Intake","Age.upon.Intake","Breed","Color","Intake.Date","Outcome.Subtype","Sex.upon.Outcome","Age.upon.Outcome","date.y","DOB","outcome","kitten","juvenile","young_adult","adult","old","multicolor","black","blue","brown","gray","orange","seal","silver","white","dom_short","dom_med","dom_long","siam","adopted","AgeDaysInt"
"56",56,"A664373","October","12405 Twin Creek in Travis (TX)","Stray","Normal","Cat","Intact Female","3 months","Domestic Shorthair Mix","Torbie",2013-10-02,"Partner","Intact Female","3 months",2013-10-10,2013-07-02,"Transfer",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",92
"57",57,"A664348","","4502 S 3Rd St in Austin (TX)","Stray","Normal","Cat","Intact Male","2 years","Domestic Shorthair Mix","Orange Tabby",2013-10-02,"SCRP","Intact Male","2 years",2013-10-03,2011-10-02,"Transfer",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",731
"58",58,"A664437","","21473 Coyote Trl in Lago Vista (TX)","Stray","Normal","Cat","Intact Male","5 months","Domestic Shorthair Mix","Orange Tabby/White",2013-10-03,"SCRP","Intact Male","5 months",2013-10-03,2013-05-03,"Transfer",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",153
"59",59,"A664428","","507 Mairo St in Austin (TX)","Stray","Normal","Cat","Intact Female","1 year","Domestic Shorthair Mix","Torbie",2013-10-03,"SCRP","Intact Female","1 year",2013-10-03,2012-10-03,"Transfer",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",365
"62",62,"A663948","Pumpkin","12314 Willow Wild in Austin (TX)","Public Assist","Normal","Cat","Intact Male","3 months","Domestic Shorthair","Black/White",2013-10-03,"","Neutered Male","3 months",2013-10-08,2013-07-03,"Return to Owner",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",92
"65",65,"A664446","*Riley","6201 E 290 in Austin (TX)","Stray","Injured","Cat","Intact Male","3 years","Domestic Shorthair Mix","Orange Tabby",2013-10-03,"Foster","Neutered Male","3 years",2014-03-15,2010-10-03,"Adoption",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"1",1096
"74",74,"A664503","","Deidra Drive in Travis (TX)","Stray","Normal","Cat","Intact Male","2 months","Domestic Shorthair Mix","Black/White",2013-10-04,"","Neutered Male","2 months",2013-10-10,2013-07-20,"Adoption",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"1",76
"77",77,"A664517","Cheddar","14100 Thermal Dr in Austin (TX)","Owner Surrender","Normal","Cat","Intact Male","3 months","Domestic Shorthair Mix","Cream Tabby",2013-10-04,"Partner","Neutered Male","5 months",2013-12-08,2013-06-19,"Transfer",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",107
"85",85,"A664513","*Sarah","71 And Bee Caves in Austin (TX)","Stray","Normal","Cat","Intact Female","3 months","Domestic Shorthair Mix","Tortie",2013-10-04,"","Spayed Female","3 months",2013-10-26,2013-07-01,"Adoption",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"1",95
"87",87,"A664474","Charley","51St And Cameron in Austin (TX)","Stray","Normal","Cat","Intact Male","1 month","Domestic Shorthair Mix","Black/White",2013-10-04,"Foster","Neutered Male","4 months",2014-01-09,2013-08-28,"Adoption",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"1",37
"89",89,"A664584","","11410 Jim Thorte in Austin (TX)","Stray","Normal","Cat","Intact Male","2 weeks","Domestic Shorthair Mix","Orange Tabby",2013-10-05,"Partner","Intact Male","2 weeks",2013-10-05,2013-09-20,"Transfer",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",15
"95",95,"A664546","*Joanna","1902 Alguno Rd in Austin (TX)","Stray","Normal","Cat","Intact Female","1 year","Domestic Shorthair Mix","Torbie",2013-10-05,"Partner","Spayed Female","1 year",2013-10-23,2012-10-05,"Transfer",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",365
"96",96,"A664582","","124 West Anderson in Austin (TX)","Stray","Normal","Cat","Unknown","3 months","Domestic Shorthair Mix","Black/White",2013-10-05,"SCRP","Unknown","3 months",2013-10-07,2013-07-05,"Transfer",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",92
"99",99,"A664601","","6913 Old Post Loop in Austin (TX)","Stray","Normal","Cat","Neutered Male","5 years","Domestic Shorthair Mix","Orange Tabby/White",2013-10-05,"SCRP","Neutered Male","5 years",2013-10-06,2008-10-05,"Transfer",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",1826
"100",100,"A664545","*Crimson","1902 Alguno Rd in Austin (TX)","Stray","Normal","Cat","Intact Male","6 months","Domestic Shorthair Mix","Orange Tabby",2013-10-05,"","Neutered Male","7 months",2013-11-13,2013-04-05,"Adoption",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"1",183
"103",103,"A664544","*Clover","1902 Alguno Rd in Austin (TX)","Stray","Normal","Cat","Intact Female","6 months","Domestic Shorthair Mix","Brown Tabby",2013-10-05,"","Spayed Female","7 months",2013-11-22,2013-04-05,"Adoption",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"1",183
"106",106,"A664542","*Cake","Jones Rd And Buffalo Pass in Austin (TX)","Stray","Normal","Cat","Intact Female","1 month","Domestic Shorthair Mix","Calico",2013-10-05,"Foster","Spayed Female","2 months",2013-11-16,2013-08-21,"Adoption",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"1",45
"108",108,"A549989","Bert","Austin (TX)","Owner Surrender","Normal","Cat","Neutered Male","4 years","Domestic Shorthair Mix","Black/White",2013-10-05,"","Neutered Male","4 years",2013-10-12,2009-05-09,"Adoption",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"1",1610
"109",109,"A664576","","Austin (TX)","Owner Surrender","Normal","Cat","Intact Male","5 months","Domestic Shorthair Mix","Orange Tabby",2013-10-05,"","Neutered Male","5 months",2013-10-10,2013-05-05,"Adoption",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"1",153
"117",117,"A664629","","Austin (TX)","Stray","Nursing","Cat","Intact Male","1 weeks","Domestic Medium Hair Mix","Orange Tabby",2013-10-06,"Partner","Intact Male","1 weeks",2013-10-06,2013-09-24,"Transfer",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"0",12
"125",125,"A664711","","10000 N Lamar in Austin (TX)","Stray","Sick","Cat","Intact Female","5 years","Himalayan Mix","Tortie Point",2013-10-07,"Suffering","Intact Female","5 years",2013-10-08,2008-10-07,"Euthanasia",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"0",1826
"128",128,"A664660","*Daisy","Escarpment in Austin (TX)","Stray","Normal","Cat","Intact Female","1 month","Domestic Shorthair Mix","Black/White",2013-10-07,"","Spayed Female","2 months",2013-10-13,2013-08-07,"Adoption",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"1",61
"130",130,"A664692","Max","Austin (TX)","Owner Surrender","Normal","Cat","Neutered Male","6 years","Russian Blue Mix","Blue",2013-10-07,"Partner","Neutered Male","6 years",2013-10-27,2007-10-07,"Transfer",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"0",2192
"132",132,"A664683","","1443 Coronado Hills in Austin (TX)","Stray","Sick","Cat","Intact Male","4 years","Domestic Shorthair Mix","Black",2013-10-07,"Suffering","Intact Male","4 years",2013-10-09,2009-10-07,"Euthanasia",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",1461
"135",135,"A664722","*Blackberry","2012 Jones Rd A in Austin (TX)","Stray","Normal","Cat","Neutered Male","3 years","Domestic Shorthair Mix","Black",2013-10-08,"","Neutered Male","3 years",2013-11-19,2010-10-08,"Adoption",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"1",1096
"136",136,"A664748","*Stubbs","Austin (TX)","Owner Surrender","Normal","Cat","Intact Male","1 month","Domestic Shorthair Mix","Orange Tabby",2013-10-08,"Offsite","Neutered Male","2 months",2013-11-06,2013-08-26,"Adoption",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"1",43
"138",138,"A664723","","9016 Yucca Mountain Rd in Austin (TX)","Stray","Sick","Cat","Intact Female","7 years","Domestic Shorthair Mix","Calico",2013-10-08,"Suffering","Intact Female","7 years",2013-10-08,2006-10-08,"Euthanasia",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",2557
"156",156,"A663723","Tornado","Austin (TX)","Owner Surrender","Normal","Cat","Neutered Male","2 months","Domestic Shorthair Mix","Brown Tabby",2013-10-09,"","Neutered Male","2 months",2013-10-06,2013-07-16,"Adoption",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"1",85
"159",159,"A664799","","115 Sandra Muraida Way in Austin (TX)","Stray","Normal","Cat","Intact Female","4 weeks","Domestic Shorthair Mix","Brown Tabby/White",2013-10-09,"Partner","Intact Female","4 weeks",2013-10-09,2013-09-09,"Transfer",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",30
"163",163,"A664820","*Joe","Scurry And Tedford in Austin (TX)","Stray","Aged","Cat","Neutered Male","14 years","Domestic Shorthair Mix","Black/White",2013-10-09,"Partner","Neutered Male","14 years",2013-10-17,1999-10-09,"Transfer",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",5114
"167",167,"A664878","","1101 East Slaughter in Austin (TX)","Stray","Normal","Cat","Intact Female","2 years","Domestic Shorthair Mix","Calico",2013-10-10,"SCRP","Intact Female","2 years",2013-10-10,2011-10-10,"Transfer",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",731
"174",174,"A664930","","1712 East 11Th St in Austin (TX)","Stray","Normal","Cat","Intact Female","2 months","Maine Coon Mix","Brown Tabby",2013-10-11,"","Spayed Female","3 months",2013-10-15,2013-07-15,"Adoption",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"1",88
"176",176,"A664972","*James","21500 Ann Showers Dr in Travis (TX)","Stray","Normal","Cat","Intact Male","4 weeks","Siamese Mix","Lynx Point",2013-10-11,"","Neutered Male","2 months",2013-11-22,2013-09-11,"Adoption",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"1",30
"180",180,"A664505","Tifa","Austin (TX)","Owner Surrender","Normal","Cat","Spayed Female","4 years","Domestic Shorthair Mix","Orange Tabby/White",2013-10-11,"","Spayed Female","4 years",2013-12-24,2009-10-04,"Adoption",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"1",1468
"182",182,"A664973","Walter","21500 Ann Showers Dr in Travis (TX)","Stray","Normal","Cat","Intact Male","4 weeks","Snowshoe Mix","Seal Point",2013-10-11,"","Neutered Male","2 months",2013-11-17,2013-09-11,"Adoption",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"1",30
"187",187,"A664928","*Ebbie","7204 Carver in Travis (TX)","Stray","Injured","Cat","Spayed Female","5 years","Domestic Shorthair Mix","Brown Tabby",2013-10-11,"SCRP","Spayed Female","5 years",2013-10-21,2008-10-11,"Transfer",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",1826
"190",190,"A665042","","1801 Fort View in Austin (TX)","Stray","Normal","Cat","Intact Male","3 weeks","Domestic Shorthair Mix","Orange Tabby",2013-10-12,"Partner","Intact Male","3 weeks",2013-10-12,2013-09-20,"Transfer",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",22
"196",196,"A664986","","2206-4 Riverside Farms Rd in Austin (TX)","Stray","Normal","Cat","Intact Female","1 year","Domestic Shorthair Mix","Calico/White",2013-10-12,"SCRP","Intact Female","1 year",2013-10-13,2012-10-12,"Transfer",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",365
"198",198,"A665030","*Red","Aria Dr And Fm 620 in Lakeway (TX)","Stray","Normal","Cat","Neutered Male","3 years","Domestic Shorthair Mix","Orange Tabby/White",2013-10-12,"Partner","Neutered Male","3 years",2013-10-27,2010-10-12,"Transfer",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",1096
"199",199,"A664994","Lucy","1904 B Garden St in Austin (TX)","Stray","Normal","Cat","Intact Female","1 year","Siamese Mix","Lynx Point",2013-10-12,"","Spayed Female","1 year",2013-12-01,2012-10-12,"Adoption",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"1",365
"201",201,"A661949","*Marty","Austin (TX)","Owner Surrender","Normal","Cat","Neutered Male","7 months","Domestic Shorthair Mix","Brown Tabby",2013-10-12,"","Neutered Male","7 months",2013-10-13,2013-02-27,"Adoption",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"1",227
"206",206,"A665020","","9218 Balcones Club Dr in Austin (TX)","Stray","Normal","Cat","Intact Female","2 years","Domestic Shorthair Mix","Tortie",2013-10-12,"SCRP","Intact Female","2 years",2013-10-13,2011-10-12,"Transfer",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",731
"208",208,"A665088","*Helen","Howard And Desa in Austin (TX)","Stray","Normal","Cat","Intact Female","4 weeks","Domestic Shorthair Mix","Black",2013-10-13,"Partner","Intact Female","3 months",2013-12-24,2013-09-13,"Transfer",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",30
"209",209,"A665078","","11805 Garden Grove Dr in Austin (TX)","Stray","Normal","Cat","Intact Female","4 years","Domestic Shorthair Mix","Black/White",2013-10-13,"Suffering","Intact Female","4 years",2013-10-14,2009-10-13,"Euthanasia",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",1461
"219",219,"A665084","","2212 Turtle Mountian Bend in Austin (TX)","Stray","Normal","Cat","Intact Female","7 months","Domestic Shorthair Mix","Tortie",2013-10-13,"SCRP","Intact Female","7 months",2013-10-14,2013-02-13,"Transfer",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",242
"222",222,"A665087","*Heidi","Howard And Desa in Austin (TX)","Stray","Normal","Cat","Intact Female","4 weeks","Domestic Shorthair Mix","Black",2013-10-13,"Partner","Intact Female","1 month",2013-11-09,2013-09-13,"Transfer",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",30
"235",235,"A665124","","9110 Us Hwy 183 South in Austin (TX)","Stray","Normal","Cat","Intact Male","3 weeks","Domestic Medium Hair Mix","Brown Tabby",2013-10-14,"Partner","Intact Male","3 weeks",2013-10-14,2013-09-22,"Transfer",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"0",22
"237",237,"A665126","","9110 Us Hwy 183 South in Austin (TX)","Stray","Normal","Cat","Intact Female","3 weeks","Domestic Medium Hair Mix","Black",2013-10-14,"Partner","Intact Female","3 weeks",2013-10-14,2013-09-22,"Transfer",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"0",22
"243",243,"A665207","","4216 S Congress Ave in Austin (TX)","Stray","Normal","Cat","Intact Female","2 weeks","Domestic Shorthair Mix","Tortie",2013-10-15,"Partner","Intact Female","2 weeks",2013-10-15,2013-09-30,"Transfer",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",15
"247",247,"A665189","","Riverside / Grove in Austin (TX)","Stray","Injured","Cat","Intact Male","1 month","Domestic Longhair Mix","Black/White",2013-10-15,"Suffering","Intact Male","1 month",2013-10-15,2013-09-08,"Euthanasia",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"0",37
"252",252,"A665199","","2206 Riverside Farms Rd in Austin (TX)","Stray","Normal","Cat","Intact Female","6 months","Domestic Shorthair Mix","Torbie/White",2013-10-15,"SCRP","Intact Female","6 months",2013-10-16,2013-04-15,"Transfer",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"0",183
"260",260,"A665280","","911 Capitol Court in Austin (TX)","Stray","Normal","Cat","Intact Female","1 year","Domestic Shorthair Mix","Orange Tabby/White",2013-10-15,"SCRP","Intact Female","1 year",2013-10-17,2012-10-15,"Transfer",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",365
"261",261,"A665190","","Austin (TX)","Stray","Injured","Cat","Neutered Male","14 years","Domestic Shorthair Mix","Black/White",2013-10-15,"Suffering","Neutered Male","14 years",2013-10-15,1999-10-15,"Euthanasia",0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",5114
"264",264,"A665246","Alex","6201 Sneed Cove in Austin (TX)","Stray","Normal","Cat","Intact Male","1 month","Domestic Shorthair Mix","Orange Tabby",2013-10-15,"Partner","Intact Male","1 month",2013-10-18,2013-08-31,"Transfer",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"0",45
"268",268,"A665300","","6001 Perlita Dr in Austin (TX)","Stray","Nursing","Cat","Intact Male","2 weeks","Domestic Medium Hair Mix","Blue",2013-10-16,"Partner","Intact Male","2 weeks",2013-10-16,2013-10-01,"Transfer",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"0",15
"269",269,"A665306","","Austin (TX)","Stray","Injured","Cat","Intact Male","4 months","Domestic Shorthair Mix","Black/White",2013-10-16,"","Neutered Male","5 months",2013-11-13,2013-05-20,"Adoption",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"1",149
"273",273,"A665298","","6001 Perlita Dr in Austin (TX)","Stray","Nursing","Cat","Intact Female","2 weeks","Domestic Medium Hair Mix","Blue",2013-10-16,"Partner","Intact Female","2 weeks",2013-10-16,2013-10-01,"Transfer",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"0",15
"282",282,"A665291","","North Ec Research Blvd in Austin (TX)","Stray","Nursing","Cat","Unknown","0 years","Domestic Shorthair Mix","Gray",2013-10-16,"Partner","Unknown","0 years",2013-10-16,2013-10-16,"Transfer",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"0",0
"292",292,"A665429","*Gilligan","Austin (TX)","Stray","Normal","Cat","Neutered Male","2 years","Domestic Medium Hair Mix","Black/White",2013-10-17,"","Neutered Male","2 years",2013-11-03,2011-10-17,"Adoption",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"1",731
"293",293,"A665409","Treat","Piedras Blanco in Austin (TX)","Stray","Other","Cat","Intact Female","4 weeks","Domestic Longhair Mix","Black",2013-10-17,"Partner","Intact Female","4 weeks",2013-10-19,2013-09-17,"Transfer",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"0",30
"295",295,"A665391","*Maybelle","Austin (TX)","Owner Surrender","Normal","Cat","Intact Female","1 year","Domestic Shorthair Mix","Blue Tabby/White",2013-10-17,"","Spayed Female","1 year",2013-12-05,2012-10-17,"Adoption",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"1",365
"298",298,"A665407","Candy","Piedras Blanco in Austin (TX)","Stray","Other","Cat","Intact Female","4 weeks","Domestic Longhair Mix","Black",2013-10-17,"Partner","Intact Female","4 weeks",2013-10-19,2013-09-17,"Transfer",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"0",30
"299",299,"A665396","*Trapperjohn","Austin (TX)","Owner Surrender","Normal","Cat","Intact Male","6 months","Domestic Shorthair Mix","Brown Tabby/White",2013-10-17,"Partner","Neutered Male","6 months",2013-10-29,2013-04-17,"Transfer",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",183
"300",300,"A665406","Pumpkin","Piedras Blanco in Austin (TX)","Stray","Other","Cat","Intact Female","4 weeks","Domestic Longhair Mix","Black",2013-10-17,"Partner","Intact Female","4 weeks",2013-10-19,2013-09-17,"Transfer",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"0",30
"303",303,"A665393","Maddie","Austin (TX)","Owner Surrender","Normal","Cat","Spayed Female","4 years","Domestic Medium Hair Mix","Blue Tabby/White",2013-10-17,"Aggressive","Spayed Female","4 years",2013-11-01,2009-04-17,"Euthanasia",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"0",1644
"304",304,"A665398","Haven","Austin (TX)","Owner Surrender","Normal","Cat","Intact Female","1 month","Domestic Shorthair Mix","White/Blue",2013-10-17,"","Spayed Female","2 months",2013-11-10,2013-08-19,"Adoption",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"1",59
"310",310,"A665182","Lorelei","Austin (TX)","Owner Surrender","Normal","Cat","Spayed Female","3 years","Maine Coon Mix","Torbie/White",2013-10-18,"Partner","Spayed Female","3 years",2013-10-27,2010-10-14,"Transfer",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"0",1100
"320",320,"A665444","","Austin (TX)","Stray","Injured","Cat","Intact Female","1 month","Domestic Shorthair Mix","Brown Tabby",2013-10-18,"Suffering","Intact Female","1 month",2013-10-25,2013-08-27,"Euthanasia",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"0",52
"321",321,"A665467","","5305 Bolm Road #1 in Austin (TX)","Stray","Normal","Cat","Intact Female","1 year","Domestic Shorthair Mix","White/Blue",2013-10-18,"SCRP","Intact Female","1 year",2013-10-21,2012-09-18,"Transfer",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"0",395
"334",334,"A665587","*Cheddar","2416 Vintage Stave Road in Austin (TX)","Stray","Normal","Cat","Neutered Male","8 years","Domestic Medium Hair Mix","Orange Tabby",2013-10-19,"","Neutered Male","8 years",2013-11-27,2005-10-19,"Adoption",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"1",2922
"336",336,"A665579","*Candy","Austin (TX)","Owner Surrender","Normal","Cat","Intact Male","1 month","Domestic Shorthair Mix","Black",2013-10-19,"Partner","Neutered Male","2 months",2013-11-04,2013-08-19,"Transfer",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"0",61
"340",340,"A665584","*Teddy","9805  Parkfield Dr in Austin (TX)","Stray","Normal","Cat","Intact Male","1 month","Domestic Shorthair","White/Black",2013-10-19,"Partner","Intact Male","2 months",2013-10-24,2013-08-19,"Transfer",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"0",61
